,Unnamed: 0,TRAFFIC_DATE,TRAINNUMBER,TRAINSERIE,TRAINSERIE_DIRECTION,STATION,ACTIVITYTYPE,DISTANCE_M,PLAN_DATETIME,REALIZED_DATETIME,DELAY,TURNOVER_INDICATOR,PREVIOUS_TRAINNUMBER,COMBINE,SPLIT,ROLLINGSTOCK_TYPE,NUMBER_CARRIAGES,DRIVER_CHANGE,DEPARTURE_SIGNAL_SHOWS_SAFE,PLAN_TURNOVER_TIME,REALIZED_TURNOVER_TIME,MAX_DEPARTURE_TIME,PLAN_SIGNAL_SAFE_DELAY,REALIZED_SIGNAL_SAFE_DELAY,DALUREN,DAY_OF_WEEK,HOUR,DAY_OF_WEEK_sin,DAY_OF_WEEK_cos,HOUR_sin,HOUR_cos,NEEDED_PLAN_TURNOVER_TIME,NEEDED_REALIZED_TURNOVER_TIME,DIFF_TURNOVER_TIME,DIFF_TURNOVER_TIME_CAT
54196,1545725,2023-01-21,1860,1800.0,E,Lw,V,,2023-01-21 16:17:00+00:00,2023-01-21 16:17:00+00:00,0.0,1,1847.0,0,0,ICM,7.0,1.0,2023-01-21 16:16:08+00:00,2040.0,2071.0,,-52.0,-52.0,True,5,16,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,2100.0,2131.0,-31.0,perfect
54231,1545979,2023-01-29,3087,3000.0,O,Hdr,V,,2023-01-29 22:04:00+00:00,2023-01-29 22:04:12+00:00,12.0,1,303066.0,0,0,VIRM,6.0,0.0,2023-01-29 22:03:07+00:00,2280.0,2273.0,,-53.0,-65.0,True,6,22,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,2328.0,2321.0,7.0,perfect
54235,1546032,2023-01-03,750,700.0,E,Gn,V,,2023-01-03 13:48:00+00:00,2023-01-03 13:47:57+00:00,-3.0,1,737.0,0,0,ICM,7.0,1.0,2023-01-03 13:47:03+00:00,2160.0,2093.0,,-57.0,-54.0,True,1,13,0.7818314824680298,0.6234898018587336,-0.2588190451025208,-0.9659258262890684,2223.0,2156.0,67.0,too late
54268,1546373,2023-01-30,3057,3000.0,O,Hdr,V,,2023-01-30 14:34:00+00:00,2023-01-30 14:34:00+00:00,0.0,1,3036.0,0,0,VIRM,6.0,1.0,2023-01-30 14:33:09+00:00,2280.0,2270.0,,-51.0,-51.0,True,0,14,0.0,1.0,-0.4999999999999997,-0.8660254037844388,2340.0,2330.0,10.0,perfect
54275,1546429,2023-01-19,3091,3000.0,O,Hdr,V,,2023-01-19 23:04:00+00:00,2023-01-19 23:04:13+00:00,13.0,1,3070.0,0,0,VIRM,4.0,0.0,2023-01-19 23:03:07+00:00,2280.0,2323.0,,-53.0,-66.0,True,3,23,0.4338837391175582,-0.900968867902419,-0.2588190451025215,0.965925826289068,2327.0,2370.0,-43.0,perfect
54284,1546469,2023-01-25,737,700.0,O,Gvc,V,,2023-01-25 10:33:00+00:00,2023-01-25 10:33:11+00:00,11.0,1,1824.0,0,0,ICM,7.0,0.0,2023-01-25 10:32:09+00:00,2190.0,2220.0,,-51.0,-62.0,True,2,10,0.9749279121818236,-0.2225209339563143,0.4999999999999999,-0.8660254037844387,2239.0,2269.0,-30.0,perfect
54287,1546509,2023-01-20,1883,1800.0,O,Gvc,V,,2023-01-20 22:03:00+00:00,2023-01-20 22:03:39+00:00,39.0,1,770.0,0,0,DDZ,4.0,0.0,2023-01-20 22:02:10+00:00,2190.0,2224.0,,-50.0,-89.0,True,4,22,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,2211.0,2245.0,-34.0,perfect
54289,1546512,2023-01-23,3055,3000.0,O,Hdr,V,,2023-01-23 14:04:00+00:00,2023-01-23 14:05:11+00:00,71.0,1,3034.0,0,1,VIRM,6.0,1.0,2023-01-23 14:03:08+00:00,2280.0,2324.0,,-52.0,-123.0,True,0,14,0.0,1.0,-0.4999999999999997,-0.8660254037844388,2269.0,2313.0,-44.0,perfect
54308,1546664,2023-01-20,8156,8100.0,E,Gn,V,,2023-01-20 15:03:00+00:00,2023-01-20 15:03:02+00:00,2.0,1,8141.0,0,0,SNG,6.0,1.0,2023-01-20 15:02:09+00:00,2160.0,2136.0,,-51.0,-53.0,True,4,15,-0.433883739117558,-0.9009688679024191,-0.7071067811865471,-0.7071067811865479,2218.0,2194.0,24.0,perfect
54310,1546669,2023-01-10,666,600.0,E,Lw,V,,2023-01-10 17:47:00+00:00,2023-01-10 17:47:06+00:00,6.0,1,300653.0,0,0,ICM,7.0,1.0,2023-01-10 17:46:37+00:00,2040.0,2051.0,,-23.0,-29.0,False,1,17,0.7818314824680298,0.6234898018587336,-0.9659258262890684,-0.2588190451025206,2094.0,2105.0,-11.0,perfect
54328,1546839,2023-01-06,540,500.0,E,Gn,V,,2023-01-06 11:18:00+00:00,2023-01-06 11:18:31+00:00,31.0,1,527.0,0,0,DDZ,4.0,1.0,2023-01-06 11:17:15+00:00,2160.0,2178.0,,-45.0,-76.0,True,4,11,-0.433883739117558,-0.9009688679024191,0.258819045102521,-0.9659258262890682,2189.0,2207.0,-18.0,perfect
54331,1546861,2023-01-20,1848,1800.0,E,Lw,V,,2023-01-20 13:17:00+00:00,2023-01-20 13:17:12+00:00,12.0,1,1835.0,0,0,DDZ,4.0,1.0,2023-01-20 13:16:09+00:00,2040.0,2051.0,,-51.0,-63.0,True,4,13,-0.433883739117558,-0.9009688679024191,-0.2588190451025208,-0.9659258262890684,2088.0,2099.0,-11.0,perfect
54335,1546901,2023-01-25,773,700.0,O,Gvc,V,,2023-01-25 19:33:00+00:00,2023-01-25 19:33:09+00:00,9.0,1,1860.0,0,1,ICM,4.0,1.0,2023-01-25 19:32:09+00:00,2190.0,2209.0,,-51.0,-60.0,True,2,19,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,0.2588190451025203,2241.0,2260.0,-19.0,perfect
54343,1546955,2023-01-17,584,500.0,E,Gn,V,,2023-01-17 22:18:00+00:00,2023-01-17 22:18:02+00:00,2.0,1,571.0,0,0,ICM,4.0,1.0,2023-01-17 22:17:16+00:00,2160.0,2099.0,,-44.0,-46.0,True,1,22,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,2218.0,2157.0,61.0,too late
54366,1547122,2023-01-31,8192,8100.0,E,Gn,V,,2023-02-01 00:03:00+00:00,2023-02-01 00:03:59+00:00,59.0,1,8177.0,0,0,SNG,6.0,0.0,2023-02-01 00:02:16+00:00,2160.0,2214.0,,-44.0,-103.0,True,2,0,0.9749279121818236,-0.2225209339563143,0.0,1.0,2161.0,2215.0,-54.0,perfect
54415,1547477,2023-01-18,626,600.0,E,Lw,V,,2023-01-18 07:47:00+00:00,2023-01-18 07:47:09+00:00,9.0,1,613.0,0,0,ICM,7.0,1.0,2023-01-18 07:46:09+00:00,2040.0,2057.0,,-51.0,-60.0,False,2,7,0.9749279121818236,-0.2225209339563143,0.9659258262890684,-0.2588190451025206,2091.0,2108.0,-17.0,perfect
54449,1547765,2023-01-18,8174,8100.0,E,Gn,V,,2023-01-18 19:33:00+00:00,2023-01-18 19:33:01+00:00,1.0,1,8159.0,0,1,SNG,3.0,1.0,2023-01-18 19:32:44+00:00,2160.0,2119.0,,-16.0,-17.0,True,2,19,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,0.2588190451025203,2219.0,2178.0,41.0,perfect
54452,1547793,2023-01-31,762,700.0,E,Gn,V,,2023-01-31 16:48:00+00:00,2023-01-31 16:47:59+00:00,-1.0,1,749.0,0,0,ICM,7.0,0.0,2023-01-31 16:47:10+00:00,2160.0,2133.0,,-50.0,-49.0,False,1,16,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,2221.0,2194.0,27.0,perfect
54458,1547818,2023-01-29,3047,3000.0,O,Hdr,V,,2023-01-29 12:04:00+00:00,2023-01-29 12:03:59+00:00,-1.0,1,3026.0,0,0,VIRM,6.0,0.0,2023-01-29 12:03:07+00:00,2280.0,2257.0,,-53.0,-52.0,True,6,12,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,2341.0,2318.0,23.0,perfect
54477,1547972,2023-01-03,745,700.0,O,Gvc,V,,2023-01-03 12:33:00+00:00,2023-01-03 12:33:08+00:00,8.0,1,1832.0,0,0,DDZ,6.0,1.0,2023-01-03 12:32:09+00:00,2190.0,2170.0,,-51.0,-59.0,True,1,12,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,2242.0,2222.0,20.0,perfect
54498,1548207,2023-01-12,750,700.0,E,Gn,V,,2023-01-12 13:48:00+00:00,2023-01-12 13:47:50+00:00,-10.0,1,737.0,0,0,ICM,7.0,1.0,2023-01-12 13:47:10+00:00,2160.0,2048.0,,-50.0,-40.0,True,3,13,0.4338837391175582,-0.900968867902419,-0.2588190451025208,-0.9659258262890684,2230.0,2118.0,112.0,too late
54499,1548210,2023-01-23,3079,3000.0,O,Hdr,V,,2023-01-23 20:04:00+00:00,2023-01-23 20:03:50+00:00,-10.0,1,3058.0,0,0,VIRM,4.0,1.0,2023-01-23 20:03:08+00:00,2280.0,2277.0,,-52.0,-42.0,True,0,20,0.0,1.0,-0.8660254037844386,0.5000000000000001,2350.0,2347.0,3.0,perfect
54504,1548240,2023-01-24,1883,1800.0,O,Gvc,V,,2023-01-24 22:03:00+00:00,2023-01-24 22:03:23+00:00,23.0,1,770.0,0,0,DDZ,4.0,0.0,2023-01-24 22:02:10+00:00,2190.0,2243.0,,-50.0,-73.0,True,1,22,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,2227.0,2280.0,-53.0,perfect
54510,1548285,2023-01-08,576,500.0,E,Gn,V,,2023-01-08 20:18:00+00:00,2023-01-08 20:17:58+00:00,-2.0,1,563.0,0,0,ICM,7.0,0.0,2023-01-08 20:17:15+00:00,2160.0,2146.0,,-45.0,-43.0,True,6,20,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,2222.0,2208.0,14.0,perfect
54521,1548377,2023-01-18,733,700.0,O,Gvc,V,,2023-01-18 09:33:00+00:00,2023-01-18 09:33:03+00:00,3.0,1,1820.0,0,1,DDZ,4.0,1.0,2023-01-18 09:32:09+00:00,2190.0,2197.0,,-51.0,-54.0,True,2,9,0.9749279121818236,-0.2225209339563143,0.7071067811865476,-0.7071067811865475,2247.0,2254.0,-7.0,perfect
54535,1548529,2023-01-23,552,500.0,E,Gn,V,,2023-01-23 14:18:00+00:00,2023-01-23 14:18:03+00:00,3.0,1,539.0,0,0,ICM,7.0,1.0,2023-01-23 14:17:16+00:00,2160.0,2174.0,,-44.0,-47.0,True,0,14,0.0,1.0,-0.4999999999999997,-0.8660254037844388,2217.0,2231.0,-14.0,perfect
54547,1548591,2023-01-28,8132,8100.0,E,Gn,V,,2023-01-28 09:03:00+00:00,2023-01-28 09:02:58+00:00,-2.0,1,8117.0,0,0,SNG,3.0,0.0,2023-01-28 09:02:09+00:00,2160.0,2104.0,,-51.0,-49.0,True,5,9,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,-0.7071067811865475,2222.0,2166.0,56.0,perfect
54550,1548598,2023-01-26,674,600.0,E,Lw,V,,2023-01-26 19:47:00+00:00,2023-01-26 19:47:10+00:00,10.0,1,661.0,0,0,ICM,7.0,0.0,2023-01-26 19:46:08+00:00,2040.0,2027.0,,-52.0,-62.0,True,3,19,0.4338837391175582,-0.900968867902419,-0.9659258262890684,0.2588190451025203,2090.0,2077.0,13.0,perfect
54552,1548609,2023-01-06,654,600.0,E,Lw,V,,2023-01-06 14:47:00+00:00,2023-01-06 14:47:24+00:00,24.0,1,641.0,0,0,ICM,7.0,0.0,2023-01-06 14:46:09+00:00,2040.0,2048.0,,-51.0,-75.0,True,4,14,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,2076.0,2084.0,-8.0,perfect
54564,1548718,2023-01-13,3055,3000.0,O,Hdr,V,,2023-01-13 14:04:00+00:00,2023-01-13 14:04:16+00:00,16.0,1,3034.0,0,0,VIRM,4.0,0.0,2023-01-13 14:03:08+00:00,2280.0,2259.0,,-52.0,-68.0,True,4,14,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,2324.0,2303.0,21.0,perfect
54565,1548719,2023-01-25,1556,1500.0,E,Dv,V,,2023-01-25 15:48:00+00:00,2023-01-25 15:47:57+00:00,-3.0,1,1549.0,1,0,ICM,6.0,0.0,2023-01-25 15:47:10+00:00,2160.0,2062.0,,-50.0,-47.0,True,2,15,0.9749279121818236,-0.2225209339563143,-0.7071067811865471,-0.7071067811865479,2223.0,2125.0,98.0,too late
54608,1549177,2023-01-29,8168,8100.0,E,Gn,V,,2023-01-29 18:03:00+00:00,2023-01-29 18:03:10+00:00,10.0,1,8153.0,0,0,SNG,3.0,0.0,2023-01-29 18:02:09+00:00,2160.0,2092.0,,-51.0,-61.0,True,6,18,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210294e-16,2210.0,2142.0,68.0,too late
54627,1549367,2023-01-07,781,700.0,O,Gvc,V,,2023-01-07 21:33:00+00:00,2023-01-07 21:33:11+00:00,11.0,1,1868.0,0,0,VIRM,6.0,1.0,2023-01-07 21:32:09+00:00,2190.0,2205.0,,-51.0,-62.0,True,5,21,-0.9749279121818236,-0.2225209339563146,-0.7071067811865477,0.7071067811865474,2239.0,2254.0,-15.0,perfect
54642,1549502,2023-01-17,646,600.0,E,Lw,V,,2023-01-17 12:47:00+00:00,2023-01-17 12:47:04+00:00,4.0,1,633.0,0,0,ICM,3.0,1.0,2023-01-17 12:46:09+00:00,2040.0,2064.0,,-51.0,-55.0,True,1,12,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,2096.0,2120.0,-24.0,perfect
54653,1549617,2023-01-25,757,700.0,O,Gvc,V,,2023-01-25 15:33:00+00:00,2023-01-25 15:33:15+00:00,15.0,1,1844.0,1,0,DDZ,8.0,1.0,2023-01-25 15:32:09+00:00,2190.0,2185.0,,-51.0,-66.0,True,2,15,0.9749279121818236,-0.2225209339563143,-0.7071067811865471,-0.7071067811865479,2235.0,2230.0,5.0,perfect
54672,1549844,2023-01-02,8192,8100.0,E,Gn,V,,2023-01-03 00:03:00+00:00,2023-01-03 00:02:55+00:00,-5.0,1,8177.0,0,1,SNG,6.0,1.0,2023-01-03 00:02:10+00:00,2160.0,2144.0,,-50.0,-45.0,True,1,0,0.7818314824680298,0.6234898018587336,0.0,1.0,2225.0,2209.0,16.0,perfect
54684,1549984,2023-01-21,3037,3000.0,O,Hdr,V,,2023-01-21 09:34:00+00:00,2023-01-21 09:33:57+00:00,-3.0,1,3016.0,0,0,VIRM,6.0,0.0,2023-01-21 09:33:07+00:00,2280.0,2274.0,,-53.0,-50.0,True,5,9,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,-0.7071067811865475,2343.0,2337.0,6.0,perfect
54693,1550083,2023-01-12,7649,7600.0,O,Wc,V,,2023-01-12 14:18:00+00:00,2023-01-12 14:18:10+00:00,10.0,1,7644.0,0,0,SNG,6.0,0.0,2023-01-12 14:17:34+00:00,2160.0,2164.0,,-26.0,-36.0,True,3,14,0.4338837391175582,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,2210.0,2214.0,-4.0,perfect
54699,1550157,2023-01-21,658,600.0,E,Lw,V,,2023-01-21 15:47:00+00:00,2023-01-21 15:47:05+00:00,5.0,1,645.0,0,0,ICM,7.0,0.0,2023-01-21 15:46:09+00:00,2040.0,2104.0,,-51.0,-56.0,True,5,15,-0.9749279121818236,-0.2225209339563146,-0.7071067811865471,-0.7071067811865479,2095.0,2159.0,-64.0,too early
54706,1550231,2023-01-08,1848,1800.0,E,Lw,V,,2023-01-08 13:17:00+00:00,2023-01-08 13:17:55+00:00,55.0,1,1835.0,0,0,DDZ,4.0,1.0,2023-01-08 13:16:09+00:00,2040.0,2083.0,,-51.0,-106.0,True,6,13,-0.7818314824680299,0.6234898018587334,-0.2588190451025208,-0.9659258262890684,2045.0,2088.0,-43.0,perfect
54709,1550269,2023-01-21,8154,8100.0,E,Gn,V,,2023-01-21 14:33:00+00:00,2023-01-21 14:33:40+00:00,40.0,1,8139.0,0,0,SNG,3.0,0.0,2023-01-21 14:32:15+00:00,2160.0,2041.0,,-45.0,-85.0,True,5,14,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,2180.0,2061.0,119.0,too late
54764,1550799,2023-01-31,560,500.0,E,Gn,V,,2023-01-31 16:18:00+00:00,2023-01-31 16:17:54+00:00,-6.0,1,547.0,0,0,ICM,6.0,1.0,2023-01-31 16:17:16+00:00,2160.0,2172.0,,-44.0,-38.0,False,1,16,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,2226.0,2238.0,-12.0,perfect
54770,1550839,2023-01-29,778,700.0,E,Gn,V,,2023-01-29 20:48:00+00:00,2023-01-29 20:48:16+00:00,16.0,1,765.0,0,0,DDZ,6.0,0.0,2023-01-29 20:47:03+00:00,2160.0,2148.0,,-57.0,-73.0,True,6,20,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,2204.0,2192.0,12.0,perfect
54827,1551351,2023-01-26,770,700.0,E,Gn,V,,2023-01-26 18:48:00+00:00,2023-01-26 18:48:24+00:00,24.0,1,757.0,0,0,DDZ,8.0,0.0,2023-01-26 18:47:10+00:00,2160.0,2197.0,,-50.0,-74.0,True,3,18,0.4338837391175582,-0.900968867902419,-1.0,-1.8369701987210294e-16,2196.0,2233.0,-37.0,perfect
54852,1551611,2023-01-11,773,700.0,O,Gvc,V,,2023-01-11 19:33:00+00:00,2023-01-11 19:32:50+00:00,-10.0,1,1860.0,0,1,ICM,4.0,1.0,2023-01-11 19:32:09+00:00,2190.0,2111.0,,-51.0,-41.0,True,2,19,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,0.2588190451025203,2260.0,2181.0,79.0,too late
54877,1551789,2023-01-01,3085,3000.0,O,Hdr,V,,2023-01-01 21:34:00+00:00,2023-01-01 21:34:02+00:00,2.0,1,3064.0,0,0,VIRM,6.0,0.0,2023-01-01 21:33:08+00:00,2280.0,2267.0,,-52.0,-54.0,True,6,21,-0.7818314824680299,0.6234898018587334,-0.7071067811865477,0.7071067811865474,2338.0,2325.0,13.0,perfect
54883,1551851,2023-01-24,1848,1800.0,E,Lw,V,,2023-01-24 13:17:00+00:00,2023-01-24 13:17:08+00:00,8.0,1,1835.0,0,0,DDZ,4.0,0.0,2023-01-24 13:16:09+00:00,2040.0,2069.0,,-51.0,-59.0,True,1,13,0.7818314824680298,0.6234898018587336,-0.2588190451025208,-0.9659258262890684,2092.0,2121.0,-29.0,perfect
54896,1551958,2023-01-27,1840,1800.0,E,Lw,V,,2023-01-27 11:17:00+00:00,2023-01-27 11:17:18+00:00,18.0,1,1827.0,0,0,ICM,6.0,0.0,2023-01-27 11:16:08+00:00,2040.0,2099.0,,-52.0,-70.0,True,4,11,-0.433883739117558,-0.9009688679024191,0.258819045102521,-0.9659258262890682,2082.0,2141.0,-59.0,perfect
54935,1552300,2023-01-17,3053,3000.0,O,Hdr,V,,2023-01-17 13:34:00+00:00,2023-01-17 13:34:05+00:00,5.0,1,3032.0,0,0,VIRM,4.0,0.0,2023-01-17 13:33:08+00:00,2280.0,2309.0,,-52.0,-57.0,True,1,13,0.7818314824680298,0.6234898018587336,-0.2588190451025208,-0.9659258262890684,2335.0,2364.0,-29.0,perfect
54939,1552336,2023-01-11,6481,6400.0,O,Tbu,V,,2023-01-11 22:33:00+00:00,2023-01-11 22:33:08+00:00,8.0,1,6480.0,0,0,FLIRT,3.0,0.0,2023-01-11 22:32:40+00:00,2100.0,2134.0,,-20.0,-28.0,True,2,22,0.9749279121818236,-0.2225209339563143,-0.5000000000000004,0.8660254037844384,2152.0,2186.0,-34.0,perfect
54945,1552364,2023-01-12,584,500.0,E,Gn,V,,2023-01-12 22:18:00+00:00,2023-01-12 22:18:07+00:00,7.0,1,571.0,0,0,ICM,7.0,1.0,2023-01-12 22:17:15+00:00,2160.0,2120.0,,-45.0,-52.0,True,3,22,0.4338837391175582,-0.900968867902419,-0.5000000000000004,0.8660254037844384,2213.0,2173.0,40.0,perfect
54956,1552465,2023-01-30,8142,8100.0,E,Gn,V,,2023-01-30 11:33:00+00:00,2023-01-30 11:33:16+00:00,16.0,1,8127.0,0,0,SNG,6.0,1.0,2023-01-30 11:32:15+00:00,2160.0,2164.0,,-45.0,-61.0,True,0,11,0.0,1.0,0.258819045102521,-0.9659258262890682,2204.0,2208.0,-4.0,perfect
55014,1552914,2023-01-25,3075,3000.0,O,Hdr,V,,2023-01-25 19:04:00+00:00,2023-01-25 19:04:07+00:00,7.0,1,3054.0,0,0,VIRM,6.0,1.0,2023-01-25 19:03:07+00:00,2280.0,2293.0,,-53.0,-60.0,True,2,19,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,0.2588190451025203,2333.0,2346.0,-13.0,perfect
55022,1552968,2023-01-09,568,500.0,E,Gn,V,,2023-01-09 18:18:00+00:00,2023-01-09 18:17:53+00:00,-7.0,1,555.0,0,0,DDZ,4.0,1.0,2023-01-09 18:17:15+00:00,2160.0,2078.0,,-45.0,-38.0,False,0,18,0.0,1.0,-1.0,-1.8369701987210294e-16,2227.0,2145.0,82.0,too late
55033,1553102,2023-01-23,1835,1800.0,O,Gvc,V,,2023-01-23 10:03:00+00:00,2023-01-23 10:02:55+00:00,-5.0,1,722.0,0,1,ICM,6.0,1.0,2023-01-23 10:02:10+00:00,2190.0,2150.0,,-50.0,-45.0,True,0,10,0.0,1.0,0.4999999999999999,-0.8660254037844387,2255.0,2215.0,40.0,perfect
55071,1553405,2023-01-01,1851,1800.0,O,Gvc,V,,2023-01-01 14:03:00+00:00,2023-01-01 14:03:06+00:00,6.0,1,738.0,0,0,ICM,7.0,0.0,2023-01-01 14:02:10+00:00,2190.0,2243.0,,-50.0,-56.0,True,6,14,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,2244.0,2297.0,-53.0,perfect
55076,1553448,2023-01-05,786,700.0,E,Gn,V,,2023-01-05 22:48:00+00:00,2023-01-05 22:48:06+00:00,6.0,1,773.0,0,0,ICM,4.0,0.0,2023-01-05 22:47:09+00:00,2160.0,2037.0,,-51.0,-57.0,True,3,22,0.4338837391175582,-0.900968867902419,-0.5000000000000004,0.8660254037844384,2214.0,2091.0,123.0,too late
55085,1553539,2023-01-03,8144,8100.0,E,Gn,V,,2023-01-03 12:03:00+00:00,2023-01-03 12:03:03+00:00,3.0,1,8129.0,0,0,SNG,6.0,1.0,2023-01-03 12:02:09+00:00,2160.0,2154.0,,-51.0,-54.0,True,1,12,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,2217.0,2211.0,6.0,perfect
55107,1553710,2023-01-17,3039,3000.0,O,Hdr,V,,2023-01-17 10:04:00+00:00,2023-01-17 10:04:34+00:00,34.0,1,3018.0,0,1,VIRM,4.0,0.0,2023-01-17 10:03:07+00:00,2280.0,2284.0,,-53.0,-87.0,True,1,10,0.7818314824680298,0.6234898018587336,0.4999999999999999,-0.8660254037844387,2306.0,2310.0,-4.0,perfect
55112,1553747,2023-01-09,733,700.0,O,Gvc,V,,2023-01-09 09:33:00+00:00,2023-01-09 09:32:52+00:00,-8.0,1,1820.0,0,1,ICM,7.0,1.0,2023-01-09 09:32:09+00:00,2190.0,2062.0,,-51.0,-43.0,True,0,9,0.0,1.0,0.7071067811865476,-0.7071067811865475,2258.0,2130.0,128.0,too late
55114,1553766,2023-01-06,745,700.0,O,Gvc,V,,2023-01-06 12:33:00+00:00,2023-01-06 12:33:09+00:00,9.0,1,1832.0,0,0,DDZ,8.0,1.0,2023-01-06 12:32:09+00:00,2190.0,2236.0,,-51.0,-60.0,True,4,12,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,2241.0,2287.0,-46.0,perfect
55119,1553801,2023-01-08,746,700.0,E,Gn,V,,2023-01-08 12:48:00+00:00,2023-01-08 12:48:00+00:00,0.0,1,733.0,0,0,DDZ,4.0,1.0,2023-01-08 12:47:10+00:00,2160.0,2169.0,,-50.0,-50.0,True,6,12,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,2220.0,2229.0,-9.0,perfect
55123,1553845,2023-01-26,8148,8100.0,E,Gn,V,,2023-01-26 13:03:00+00:00,2023-01-26 13:03:04+00:00,4.0,1,8133.0,0,0,SNG,7.0,1.0,2023-01-26 13:02:09+00:00,2160.0,2153.0,,-51.0,-55.0,True,3,13,0.4338837391175582,-0.900968867902419,-0.2588190451025208,-0.9659258262890684,2216.0,2209.0,7.0,perfect
55140,1554006,2023-01-22,6441,6400.0,O,Tbu,V,,2023-01-22 12:33:00+00:00,2023-01-22 12:33:21+00:00,21.0,1,6440.0,0,0,FLIRT,3.0,0.0,2023-01-22 12:32:41+00:00,2100.0,2134.0,,-19.0,-40.0,True,6,12,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,2139.0,2173.0,-34.0,perfect
55159,1554198,2023-01-06,1848,1800.0,E,Lw,V,,2023-01-06 13:17:00+00:00,2023-01-06 13:16:59+00:00,-1.0,1,1835.0,0,0,DDZ,4.0,1.0,2023-01-06 13:16:09+00:00,2040.0,2013.0,,-51.0,-50.0,True,4,13,-0.433883739117558,-0.9009688679024191,-0.2588190451025208,-0.9659258262890684,2101.0,2074.0,27.0,perfect
55174,1554313,2023-01-14,6421,6400.0,O,Tbu,V,,2023-01-14 07:33:00+00:00,2023-01-14 07:33:08+00:00,8.0,1,6420.0,0,0,FLIRT,3.0,0.0,2023-01-14 07:32:42+00:00,2100.0,2158.0,,-18.0,-26.0,True,5,7,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,-0.2588190451025206,2152.0,2210.0,-58.0,perfect
55235,1554939,2023-01-09,1856,1800.0,E,Lw,V,,2023-01-09 15:17:00+00:00,2023-01-09 15:17:12+00:00,12.0,1,1843.0,0,0,ICM,7.0,1.0,2023-01-09 15:16:09+00:00,2040.0,2050.0,,-51.0,-63.0,True,0,15,0.0,1.0,-0.7071067811865471,-0.7071067811865479,2088.0,2098.0,-10.0,perfect
55242,1555025,2023-01-17,552,500.0,E,Gn,V,,2023-01-17 14:18:00+00:00,2023-01-17 14:17:58+00:00,-2.0,1,539.0,0,0,ICM,7.0,1.0,2023-01-17 14:17:15+00:00,2160.0,2151.0,,-45.0,-43.0,True,1,14,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,2222.0,2213.0,9.0,perfect
55251,1555113,2023-01-13,1884,1800.0,E,Lw,V,,2023-01-13 22:17:00+00:00,2023-01-13 22:17:05+00:00,5.0,1,1871.0,0,0,ICM,3.0,1.0,2023-01-13 22:16:09+00:00,2040.0,2037.0,,-51.0,-56.0,True,4,22,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,2095.0,2092.0,3.0,perfect
55252,1555120,2023-01-21,568,500.0,E,Gn,V,,2023-01-21 18:18:00+00:00,2023-01-21 18:18:01+00:00,1.0,1,555.0,0,0,ICM,6.0,0.0,2023-01-21 18:17:15+00:00,2160.0,2165.0,,-45.0,-46.0,True,5,18,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210294e-16,2219.0,2224.0,-5.0,perfect
55264,1611192,2023-01-04,626,600.0,E,Lw,V,,2023-01-04 07:47:00+00:00,2023-01-04 07:47:27+00:00,27.0,1,613.0,0,0,ICM,3.0,1.0,2023-01-04 07:46:09+00:00,2040.0,2076.0,,-51.0,-78.0,False,2,7,0.9749279121818236,-0.2225209339563143,0.9659258262890684,-0.2588190451025206,2073.0,2109.0,-36.0,perfect
