,Unnamed: 0,TRAFFIC_DATE,TRAINNUMBER,TRAINSERIE,TRAINSERIE_DIRECTION,STATION,ACTIVITYTYPE,DISTANCE_M,PLAN_DATETIME,REALIZED_DATETIME,DELAY,TURNOVER_INDICATOR,PREVIOUS_TRAINNUMBER,COMBINE,SPLIT,ROLLINGSTOCK_TYPE,NUMBER_CARRIAGES,DRIVER_CHANGE,DEPARTURE_SIGNAL_SHOWS_SAFE,PLAN_TURNOVER_TIME,REALIZED_TURNOVER_TIME,MAX_DEPARTURE_TIME,PLAN_SIGNAL_SAFE_DELAY,REALIZED_SIGNAL_SAFE_DELAY,DALUREN,DAY_OF_WEEK,HOUR,DAY_OF_WEEK_sin,DAY_OF_WEEK_cos,HOUR_sin,HOUR_cos,NEEDED_PLAN_TURNOVER_TIME,NEEDED_REALIZED_TURNOVER_TIME,DIFF_TURNOVER_TIME,DIFF_TURNOVER_TIME_CAT
693,364578,2023-01-06,563,500.0,O,Ut,V,0.0,2023-01-06 17:49:00+00:00,2023-01-06 17:48:57+00:00,-3.0,1,,0,0,ICM,7.0,1.0,2023-01-06 17:48:07+00:00,2130.0,2106.0,,-53.0,-50.0,False,4,17,-0.433883739117558,-0.9009688679024191,-0.9659258262890684,-0.2588190451025206,2193.0,2169.0,24.0,perfect
735,373542,2023-01-06,3035,3000.0,O,Ah,V,0.0,2023-01-06 11:35:00+00:00,2023-01-06 11:35:09+00:00,9.0,1,,0,0,VIRM,6.0,1.0,2023-01-06 11:34:07+00:00,2064.0,2067.0,,-53.0,-62.0,True,4,11,-0.433883739117558,-0.9009688679024191,0.258819045102521,-0.9659258262890682,2115.0,2118.0,-3.0,perfect
744,374602,2023-01-06,3037,3000.0,O,Ah,V,0.0,2023-01-06 12:05:00+00:00,2023-01-06 12:05:08+00:00,8.0,1,,0,0,VIRM,6.0,1.0,2023-01-06 12:04:07+00:00,2064.0,2087.0,,-53.0,-61.0,True,4,12,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,2116.0,2139.0,-23.0,perfect
748,374765,2023-01-06,3081,3000.0,O,Ah,V,0.0,2023-01-06 23:05:00+00:00,2023-01-06 23:05:49+00:00,49.0,1,,0,0,VIRM,4.0,1.0,2023-01-06 23:04:07+00:00,2052.0,2129.0,,-53.0,-102.0,True,4,23,-0.433883739117558,-0.9009688679024191,-0.2588190451025215,0.965925826289068,2063.0,2140.0,-77.0,too early
765,375705,2023-01-06,3073,3000.0,O,Ah,V,0.0,2023-01-06 21:05:00+00:00,2023-01-06 21:05:44+00:00,44.0,1,,0,0,VIRM,4.0,1.0,2023-01-06 21:04:06+00:00,2052.0,2113.0,,-54.0,-98.0,True,4,21,-0.433883739117558,-0.9009688679024191,-0.7071067811865477,0.7071067811865474,2068.0,2129.0,-61.0,too early
780,422607,2023-01-06,11773,11700.0,O,Ut,V,0.0,2023-01-06 20:07:00+00:00,2023-01-06 20:07:23+00:00,23.0,1,,0,0,ICM,3.0,1.0,2023-01-06 20:06:07+00:00,2460.0,2430.0,,-53.0,-76.0,True,4,20,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,2497.0,2467.0,30.0,perfect
784,422788,2023-01-06,11769,11700.0,O,Ut,V,0.0,2023-01-06 19:07:00+00:00,2023-01-06 19:07:19+00:00,19.0,1,,0,0,ICM,7.0,1.0,2023-01-06 19:06:07+00:00,2460.0,2377.0,,-53.0,-72.0,True,4,19,-0.433883739117558,-0.9009688679024191,-0.9659258262890684,0.2588190451025203,2501.0,2418.0,83.0,too late
807,440700,2023-01-07,587,500.0,O,Ut,V,0.0,2023-01-07 23:49:00+00:00,2023-01-07 23:48:58+00:00,-2.0,1,,0,0,ICM,7.0,1.0,2023-01-07 23:48:07+00:00,2130.0,2084.0,,-53.0,-51.0,True,5,23,-0.9749279121818236,-0.2225209339563146,-0.2588190451025215,0.965925826289068,2192.0,2146.0,46.0,perfect
812,440971,2023-01-07,629,600.0,O,Ut,V,0.0,2023-01-07 09:19:00+00:00,2023-01-07 09:18:59+00:00,-1.0,1,,0,0,DDZ,6.0,0.0,2023-01-07 09:18:07+00:00,2184.0,2133.0,,-53.0,-52.0,True,5,9,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,-0.7071067811865475,2245.0,2194.0,51.0,perfect
834,442087,2023-01-07,531,500.0,O,Ut,V,0.0,2023-01-07 09:49:00+00:00,2023-01-07 09:49:42+00:00,42.0,1,,0,0,ICM,7.0,0.0,2023-01-07 09:48:07+00:00,2130.0,2159.0,,-53.0,-95.0,True,5,9,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,-0.7071067811865475,2148.0,2177.0,-29.0,perfect
838,442200,2023-01-07,685,600.0,O,Ut,V,0.0,2023-01-07 23:19:00+00:00,2023-01-07 23:19:01+00:00,1.0,1,,0,0,ICM,3.0,1.0,2023-01-07 23:18:07+00:00,2184.0,2144.0,,-53.0,-54.0,True,5,23,-0.9749279121818236,-0.2225209339563146,-0.2588190451025215,0.965925826289068,2243.0,2203.0,40.0,perfect
847,443479,2023-01-07,1738,1700.0,E,Ut,V,0.0,2023-01-07 12:28:00+00:00,2023-01-07 12:27:54+00:00,-6.0,1,,0,0,ICM,6.0,1.0,2023-01-07 12:27:07+00:00,2040.0,2048.0,,-53.0,-47.0,True,5,12,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,2106.0,2114.0,-8.0,perfect
868,447739,2023-01-07,3031,3000.0,O,Ah,V,0.0,2023-01-07 10:35:00+00:00,2023-01-07 10:35:10+00:00,10.0,1,,0,0,VIRM,6.0,1.0,2023-01-07 10:34:06+00:00,1998.0,2020.0,,-54.0,-64.0,True,5,10,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,-0.8660254037844387,2048.0,2070.0,-22.0,perfect
876,449186,2023-01-07,3022,3000.0,E,Ah,V,0.0,2023-01-07 08:01:00+00:00,2023-01-07 08:01:02+00:00,2.0,1,,0,0,VIRM,4.0,1.0,2023-01-07 08:00:07+00:00,2280.0,2268.0,,-53.0,-55.0,True,5,8,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,2338.0,2326.0,12.0,perfect
878,449248,2023-01-07,3039,3000.0,O,Ah,V,0.0,2023-01-07 12:35:00+00:00,2023-01-07 12:35:13+00:00,13.0,1,,0,0,VIRM,10.0,1.0,2023-01-07 12:34:38+00:00,2052.0,2055.0,,-22.0,-35.0,True,5,12,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,2099.0,2102.0,-3.0,perfect
880,449285,2023-01-07,3051,3000.0,O,Ah,V,0.0,2023-01-07 15:35:00+00:00,2023-01-07 15:35:09+00:00,9.0,1,,0,0,VIRM,10.0,1.0,2023-01-07 15:34:07+00:00,1998.0,2015.0,,-53.0,-62.0,True,5,15,-0.9749279121818236,-0.2225209339563146,-0.7071067811865471,-0.7071067811865479,2049.0,2066.0,-17.0,perfect
897,452795,2023-01-07,3079,3000.0,O,Ah,V,0.0,2023-01-07 22:35:00+00:00,2023-01-07 22:34:59+00:00,-1.0,1,,0,0,VIRM,4.0,1.0,2023-01-07 22:34:07+00:00,1998.0,2026.0,,-53.0,-52.0,True,5,22,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,2059.0,2087.0,-28.0,perfect
925,504591,2023-01-08,568,500.0,E,Ut,V,0.0,2023-01-08 20:18:00+00:00,2023-01-08 20:18:42+00:00,42.0,1,,0,0,ICM,6.0,1.0,2023-01-08 20:17:07+00:00,2340.0,2395.0,,-53.0,-95.0,True,6,20,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,2358.0,2413.0,-55.0,perfect
927,504620,2023-01-08,637,600.0,O,Ut,V,0.0,2023-01-08 11:19:00+00:00,2023-01-08 11:18:58+00:00,-2.0,1,,0,0,ICM,6.0,1.0,2023-01-08 11:18:07+00:00,2184.0,2154.0,,-53.0,-51.0,True,6,11,-0.7818314824680299,0.6234898018587334,0.258819045102521,-0.9659258262890682,2246.0,2216.0,30.0,perfect
928,504651,2023-01-08,661,600.0,O,Ut,V,0.0,2023-01-08 17:19:00+00:00,2023-01-08 17:19:14+00:00,14.0,1,,0,0,ICM,6.0,0.0,2023-01-08 17:18:07+00:00,2184.0,2190.0,,-53.0,-67.0,True,6,17,-0.7818314824680299,0.6234898018587334,-0.9659258262890684,-0.2588190451025206,2230.0,2236.0,-6.0,perfect
934,504819,2023-01-08,547,500.0,O,Ut,V,0.0,2023-01-08 13:49:00+00:00,2023-01-08 13:49:16+00:00,16.0,1,,0,0,ICM,6.0,1.0,2023-01-08 13:48:07+00:00,2130.0,2123.0,,-53.0,-69.0,True,6,13,-0.7818314824680299,0.6234898018587334,-0.2588190451025208,-0.9659258262890684,2174.0,2167.0,7.0,perfect
935,504836,2023-01-08,571,500.0,O,Ut,V,0.0,2023-01-08 19:49:00+00:00,2023-01-08 19:49:12+00:00,12.0,1,,0,0,ICM,6.0,1.0,2023-01-08 19:48:07+00:00,2184.0,2164.0,,-53.0,-65.0,True,6,19,-0.7818314824680299,0.6234898018587334,-0.9659258262890684,0.2588190451025203,2232.0,2212.0,20.0,perfect
938,504917,2023-01-08,681,600.0,O,Ut,V,0.0,2023-01-08 22:19:00+00:00,2023-01-08 22:18:57+00:00,-3.0,1,,0,0,ICM,6.0,1.0,2023-01-08 22:18:07+00:00,2130.0,2084.0,,-53.0,-50.0,True,6,22,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,2193.0,2147.0,46.0,perfect
945,505355,2023-01-08,653,600.0,O,Ut,V,0.0,2023-01-08 15:19:00+00:00,2023-01-08 15:18:54+00:00,-6.0,1,,0,0,ICM,6.0,1.0,2023-01-08 15:18:07+00:00,2130.0,2115.0,,-53.0,-47.0,True,6,15,-0.7818314824680299,0.6234898018587334,-0.7071067811865471,-0.7071067811865479,2196.0,2181.0,15.0,perfect
946,505383,2023-01-08,689,600.0,O,Ut,V,0.0,2023-01-09 00:19:00+00:00,2023-01-09 00:19:02+00:00,2.0,1,,0,0,ICM,4.0,0.0,2023-01-09 00:18:07+00:00,2184.0,2088.0,,-53.0,-55.0,True,0,0,0.0,1.0,0.0,1.0,2242.0,2146.0,96.0,too late
948,505460,2023-01-07,303035,303000.0,O,Ah,V,0.0,2023-01-07 11:35:00+00:00,2023-01-07 11:35:04+00:00,4.0,1,,0,0,VIRM,10.0,1.0,2023-01-07 11:34:05+00:00,2520.0,2489.0,,-55.0,-59.0,True,5,11,-0.9749279121818236,-0.2225209339563146,0.258819045102521,-0.9659258262890682,2576.0,2545.0,31.0,perfect
965,506293,2023-01-08,657,600.0,O,Ut,V,0.0,2023-01-08 16:19:00+00:00,2023-01-08 16:19:04+00:00,4.0,1,,0,0,ICM,6.0,1.0,2023-01-08 16:18:07+00:00,2184.0,2154.0,,-53.0,-57.0,True,6,16,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,2240.0,2210.0,30.0,perfect
991,513344,2023-01-08,3045,3000.0,O,Ah,V,0.0,2023-01-08 14:05:00+00:00,2023-01-08 14:05:10+00:00,10.0,1,,0,0,VIRM,10.0,1.0,2023-01-08 14:04:07+00:00,2052.0,2054.0,,-53.0,-63.0,True,6,14,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,2102.0,2104.0,-2.0,perfect
