,TRAFFIC_DATE,TRAINNUMBER,TRAINSERIE,TRAINSERIE_DIRECTION,STATION,ACTIVITYTYPE,PLAN_DATETIME,REALIZED_DATETIME,DELAY,TURNOVER_INDICATOR,PREVIOUS_TRAINNUMBER,COMBINE,SPLIT,ROLLINGSTOCK_TYPE,NUMBER_CARRIAGES,DRIVER_CHANGE,DEPARTURE_SIGNAL_SHOWS_SAFE,PLAN_TURNOVER_TIME,REALIZED_TURNOVER_TIME,MAX_DEPARTURE_TIME,PLAN_SIGNAL_SAFE_DELAY,REALIZED_SIGNAL_SAFE_DELAY,DAY_IN_WEEK,24-TIME,DALUREN,NEEDED_PLAN_TURNOVER_TIME,NEEDED_REALIZED_TURNOVER_TIME,DIFF_TURNOVER_TIME,DIFF_TURNOVER_TIME_CAT
16617,2023-03-06,3153,3100.0,O,Ah,V,2023-03-06 15:50:00+00:00,2023-03-06 15:51:25+00:00,85.0,1,nan,0,0,VIRM,10.0,1.0,2023-03-06 15:49:06+00:00,300.0,402.0,2023-03-06 15:51:25+00:00,-54.0,-139.0,0,2024-05-15 15:50:00,True,275.0,377.0,-102.0,too early
16645,2023-03-06,3155,3100.0,O,Ah,V,2023-03-06 16:20:00+00:00,2023-03-06 16:20:09+00:00,9.0,1,nan,0,0,VIRM,12.0,1.0,2023-03-06 16:19:14+00:00,300.0,290.0,2023-03-06 16:20:09+00:00,-46.0,-55.0,0,2024-05-15 16:20:00,False,351.0,341.0,10.0,perfect
16649,2023-03-06,3156,3100.0,E,Ah,V,2023-03-06 16:15:00+00:00,2023-03-06 16:15:37+00:00,37.0,1,nan,0,0,VIRM,6.0,0.0,2023-03-06 16:14:06+00:00,300.0,322.0,2023-03-06 16:15:37+00:00,-54.0,-91.0,0,2024-05-15 16:15:00,False,323.0,345.0,-22.0,perfect
16673,2023-03-06,3157,3100.0,O,Ah,V,2023-03-06 16:50:00+00:00,2023-03-06 16:50:09+00:00,9.0,1,nan,0,0,VIRM,8.0,1.0,2023-03-06 16:49:08+00:00,300.0,317.0,2023-03-06 16:50:09+00:00,-52.0,-61.0,0,2024-05-15 16:50:00,False,351.0,368.0,-17.0,perfect
16677,2023-03-06,3158,3100.0,E,Ah,V,2023-03-06 16:45:00+00:00,2023-03-06 16:44:56+00:00,-4.0,1,nan,0,0,VIRM,4.0,0.0,2023-03-06 16:44:08+00:00,300.0,290.0,2023-03-06 16:44:56+00:00,-52.0,-48.0,0,2024-05-15 16:45:00,False,364.0,354.0,10.0,perfect
16701,2023-03-06,3159,3100.0,O,Ah,V,2023-03-06 17:20:00+00:00,2023-03-06 17:19:58+00:00,-2.0,1,nan,0,0,VIRM,6.0,1.0,2023-03-06 17:19:07+00:00,300.0,311.0,2023-03-06 17:19:58+00:00,-53.0,-51.0,0,2024-05-15 17:20:00,False,362.0,373.0,-11.0,perfect
16705,2023-03-06,3160,3100.0,E,Ah,V,2023-03-06 17:15:00+00:00,2023-03-06 17:15:40+00:00,40.0,1,nan,0,0,VIRM,6.0,1.0,2023-03-06 17:14:06+00:00,300.0,321.0,2023-03-06 17:15:40+00:00,-54.0,-94.0,0,2024-05-15 17:15:00,False,320.0,341.0,-21.0,perfect
16729,2023-03-06,3161,3100.0,O,Ah,V,2023-03-06 17:50:00+00:00,2023-03-06 17:50:48+00:00,48.0,1,nan,0,0,VIRM,6.0,0.0,2023-03-06 17:49:07+00:00,300.0,285.0,2023-03-06 17:50:48+00:00,-53.0,-101.0,0,2024-05-15 17:50:00,False,312.0,297.0,15.0,perfect
16733,2023-03-06,3162,3100.0,E,Ah,V,2023-03-06 17:45:00+00:00,2023-03-06 17:44:55+00:00,-5.0,1,nan,0,0,VIRM,6.0,0.0,2023-03-06 17:44:06+00:00,300.0,279.0,2023-03-06 17:44:55+00:00,-54.0,-49.0,0,2024-05-15 17:45:00,False,365.0,344.0,21.0,perfect
16757,2023-03-06,3163,3100.0,O,Ah,V,2023-03-06 18:20:00+00:00,2023-03-06 18:21:01+00:00,61.0,1,nan,0,0,VIRM,4.0,1.0,2023-03-06 18:19:07+00:00,300.0,124.0,2023-03-06 18:21:01+00:00,-53.0,-114.0,0,2024-05-15 18:20:00,False,299.0,123.0,176.0,too late
