,TRAFFIC_DATE,TRAINNUMBER,TRAINSERIE,TRAINSERIE_DIRECTION,STATION,ACTIVITYTYPE,PLAN_DATETIME,REALIZED_DATETIME,DELAY,TURNOVER_INDICATOR,PREVIOUS_TRAINNUMBER,COMBINE,SPLIT,ROLLINGSTOCK_TYPE,NUMBER_CARRIAGES,DRIVER_CHANGE,DEPARTURE_SIGNAL_SHOWS_SAFE,PLAN_TURNOVER_TIME,REALIZED_TURNOVER_TIME,MAX_DEPARTURE_TIME,PLAN_SIGNAL_SAFE_DELAY,REALIZED_SIGNAL_SAFE_DELAY,DAY_IN_WEEK,24-TIME,DALUREN,NEEDED_PLAN_TURNOVER_TIME,NEEDED_REALIZED_TURNOVER_TIME,DIFF_TURNOVER_TIME,DIFF_TURNOVER_TIME_CAT
80210,2023-03-07,690,600.0,E,Lw,V,2023-03-07 23:24:00+00:00,2023-03-07 23:24:11+00:00,11.0,1,1875,0,0,ICM,4.0,1.0,2023-03-07 23:23:09+00:00,2460.0,2440.0,2023-03-07 23:24:11+00:00,-51.0,-62.0,1,2024-05-15 23:24:00,True,2509.0,2489.0,20.0,perfect
80292,2023-03-07,721,700.0,O,Gvc,V,2023-03-07 06:33:00+00:00,2023-03-07 06:33:05+00:00,5.0,1,710,0,0,DDZ,4.0,0.0,2023-03-07 06:32:09+00:00,390.0,383.0,2023-03-07 06:33:05+00:00,-51.0,-56.0,1,2024-05-15 06:33:00,False,445.0,438.0,7.0,perfect
80324,2023-03-07,725,700.0,O,Gvc,V,2023-03-07 07:33:00+00:00,2023-03-07 07:33:14+00:00,14.0,1,714,1,0,ICM,11.0,1.0,2023-03-07 07:32:09+00:00,390.0,377.0,2023-03-07 07:33:14+00:00,-51.0,-65.0,1,2024-05-15 07:33:00,False,436.0,423.0,13.0,perfect
80340,2023-03-07,726,700.0,E,Gn,V,2023-03-07 07:48:00+00:00,2023-03-07 07:48:08+00:00,8.0,1,713,0,0,DDZ,4.0,0.0,2023-03-07 07:47:09+00:00,2160.0,2167.0,2023-03-07 07:48:08+00:00,-51.0,-59.0,1,2024-05-15 07:48:00,False,2212.0,2219.0,-7.0,perfect
80356,2023-03-07,729,700.0,O,Gvc,V,2023-03-07 08:33:00+00:00,2023-03-07 08:33:09+00:00,9.0,1,301816,0,0,ICM,6.0,0.0,2023-03-07 08:32:09+00:00,2220.0,2236.0,2023-03-07 08:33:09+00:00,-51.0,-60.0,1,2024-05-15 08:33:00,False,2271.0,2287.0,-16.0,perfect
80372,2023-03-07,730,700.0,E,Gn,V,2023-03-07 08:48:00+00:00,2023-03-07 08:47:55+00:00,-5.0,1,717,1,0,ICM,7.0,0.0,2023-03-07 08:47:09+00:00,2160.0,2048.0,2023-03-07 08:47:55+00:00,-51.0,-46.0,1,2024-05-15 08:48:00,False,2225.0,2113.0,112.0,too late
80388,2023-03-07,733,700.0,O,Gvc,V,2023-03-07 09:33:00+00:00,2023-03-07 09:33:07+00:00,7.0,1,201820,0,0,DDZ,6.0,1.0,2023-03-07 09:32:09+00:00,2220.0,2209.0,2023-03-07 09:33:07+00:00,-51.0,-58.0,1,2024-05-15 09:33:00,True,2273.0,2262.0,11.0,perfect
80404,2023-03-07,734,700.0,E,Gn,V,2023-03-07 09:48:00+00:00,2023-03-07 09:48:20+00:00,20.0,1,721,0,0,DDZ,4.0,0.0,2023-03-07 09:47:16+00:00,2160.0,2188.0,2023-03-07 09:48:20+00:00,-44.0,-64.0,1,2024-05-15 09:48:00,True,2200.0,2228.0,-28.0,perfect
80420,2023-03-07,737,700.0,O,Gvc,V,2023-03-07 10:33:00+00:00,2023-03-07 10:33:01+00:00,1.0,1,1824,0,0,DDZ,6.0,1.0,2023-03-07 10:32:10+00:00,2190.0,2188.0,2023-03-07 10:33:01+00:00,-50.0,-51.0,1,2024-05-15 10:33:00,True,2249.0,2247.0,2.0,perfect
80452,2023-03-07,741,700.0,O,Gvc,V,2023-03-07 11:33:00+00:00,2023-03-07 11:33:10+00:00,10.0,1,1828,0,0,ICM,7.0,1.0,2023-03-07 11:32:09+00:00,2190.0,2226.0,2023-03-07 11:33:10+00:00,-51.0,-61.0,1,2024-05-15 11:33:00,True,2240.0,2276.0,-36.0,perfect
80468,2023-03-07,742,700.0,E,Gn,V,2023-03-07 11:48:00+00:00,2023-03-07 11:48:18+00:00,18.0,1,729,0,0,ICM,6.0,1.0,2023-03-07 11:47:03+00:00,2160.0,2167.0,2023-03-07 11:48:18+00:00,-57.0,-75.0,1,2024-05-15 11:48:00,True,2202.0,2209.0,-7.0,perfect
80484,2023-03-07,745,700.0,O,Gvc,V,2023-03-07 12:33:00+00:00,2023-03-07 12:33:02+00:00,2.0,1,301832,0,1,DDZ,4.0,1.0,2023-03-07 12:32:09+00:00,2220.0,2181.0,2023-03-07 12:33:02+00:00,-51.0,-53.0,1,2024-05-15 12:33:00,True,2278.0,2239.0,39.0,perfect
80500,2023-03-07,746,700.0,E,Gn,V,2023-03-07 12:48:00+00:00,2023-03-07 12:48:07+00:00,7.0,1,733,0,0,DDZ,6.0,1.0,2023-03-07 12:47:03+00:00,2160.0,2161.0,2023-03-07 12:48:07+00:00,-57.0,-64.0,1,2024-05-15 12:48:00,True,2213.0,2214.0,-1.0,perfect
80516,2023-03-07,749,700.0,O,Gvc,V,2023-03-07 13:33:00+00:00,2023-03-07 13:34:14+00:00,74.0,1,1836,0,0,ICM,7.0,1.0,2023-03-07 13:32:10+00:00,2190.0,2272.0,2023-03-07 13:34:14+00:00,-50.0,-124.0,1,2024-05-15 13:33:00,True,2176.0,2258.0,-82.0,too early
80532,2023-03-07,750,700.0,E,Gn,V,2023-03-07 13:48:00+00:00,2023-03-07 13:48:42+00:00,42.0,1,300737,0,0,DDZ,4.0,1.0,2023-03-07 13:47:03+00:00,2160.0,2108.0,2023-03-07 13:48:42+00:00,-57.0,-99.0,1,2024-05-15 13:48:00,True,2178.0,2126.0,52.0,perfect
80548,2023-03-07,753,700.0,O,Gvc,V,2023-03-07 14:33:00+00:00,2023-03-07 14:33:06+00:00,6.0,1,1840,0,0,ICM,6.0,1.0,2023-03-07 14:32:09+00:00,2190.0,2206.0,2023-03-07 14:33:06+00:00,-51.0,-57.0,1,2024-05-15 14:33:00,True,2244.0,2260.0,-16.0,perfect
80564,2023-03-07,754,700.0,E,Gn,V,2023-03-07 14:48:00+00:00,2023-03-07 14:48:14+00:00,14.0,1,741,0,0,ICM,7.0,1.0,2023-03-07 14:47:03+00:00,2160.0,2188.0,2023-03-07 14:48:14+00:00,-57.0,-71.0,1,2024-05-15 14:48:00,True,2206.0,2234.0,-28.0,perfect
80580,2023-03-07,757,700.0,O,Gvc,V,2023-03-07 15:33:00+00:00,2023-03-07 15:33:06+00:00,6.0,1,1844,0,0,ICM,7.0,1.0,2023-03-07 15:32:09+00:00,2190.0,2200.0,2023-03-07 15:33:06+00:00,-51.0,-57.0,1,2024-05-15 15:33:00,True,2244.0,2254.0,-10.0,perfect
80596,2023-03-07,758,700.0,E,Gn,V,2023-03-07 15:48:00+00:00,2023-03-07 15:48:14+00:00,14.0,1,745,1,0,DDZ,8.0,1.0,2023-03-07 15:47:09+00:00,2160.0,2207.0,2023-03-07 15:48:14+00:00,-51.0,-65.0,1,2024-05-15 15:48:00,True,2206.0,2253.0,-47.0,perfect
80612,2023-03-07,761,700.0,O,Gvc,V,2023-03-07 16:33:00+00:00,2023-03-07 16:33:17+00:00,17.0,1,750,1,0,DDZ,8.0,1.0,2023-03-07 16:32:10+00:00,372.0,372.0,2023-03-07 16:33:17+00:00,-50.0,-67.0,1,2024-05-15 16:33:00,False,415.0,415.0,0.0,perfect
80628,2023-03-07,762,700.0,E,Gn,V,2023-03-07 16:48:00+00:00,2023-03-07 16:48:07+00:00,7.0,1,749,0,0,ICM,7.0,0.0,2023-03-07 16:47:09+00:00,2160.0,2221.0,2023-03-07 16:48:07+00:00,-51.0,-58.0,1,2024-05-15 16:48:00,False,2213.0,2274.0,-61.0,too early
80644,2023-03-07,765,700.0,O,Gvc,V,2023-03-07 17:33:00+00:00,2023-03-07 17:33:27+00:00,27.0,1,754,1,0,ICM,11.0,1.0,2023-03-07 17:32:09+00:00,372.0,236.0,2023-03-07 17:33:27+00:00,-51.0,-78.0,1,2024-05-15 17:33:00,False,405.0,269.0,136.0,too late
80660,2023-03-07,766,700.0,E,Gn,V,2023-03-07 17:48:00+00:00,2023-03-07 17:48:45+00:00,45.0,1,753,0,0,ICM,6.0,1.0,2023-03-07 17:47:16+00:00,2160.0,2219.0,2023-03-07 17:48:45+00:00,-44.0,-89.0,1,2024-05-15 17:48:00,False,2175.0,2234.0,-59.0,perfect
80708,2023-03-07,773,700.0,O,Gvc,V,2023-03-07 19:33:00+00:00,2023-03-07 19:33:37+00:00,37.0,1,1860,0,1,DDZ,4.0,1.0,2023-03-07 19:32:09+00:00,2190.0,2183.0,2023-03-07 19:33:37+00:00,-51.0,-88.0,1,2024-05-15 19:33:00,True,2213.0,2206.0,7.0,perfect
80724,2023-03-07,774,700.0,E,Gn,V,2023-03-07 19:48:00+00:00,2023-03-07 19:48:17+00:00,17.0,1,761,0,0,DDZ,4.0,0.0,2023-03-07 19:47:03+00:00,2160.0,2172.0,2023-03-07 19:48:17+00:00,-57.0,-74.0,1,2024-05-15 19:48:00,True,2203.0,2215.0,-12.0,perfect
80740,2023-03-07,777,700.0,O,Gvc,V,2023-03-07 20:33:00+00:00,2023-03-07 20:33:04+00:00,4.0,1,1864,0,1,ICM,4.0,1.0,2023-03-07 20:32:09+00:00,2190.0,2083.0,2023-03-07 20:33:04+00:00,-51.0,-55.0,1,2024-05-15 20:33:00,True,2246.0,2139.0,107.0,too late
80772,2023-03-07,781,700.0,O,Gvc,V,2023-03-07 21:33:00+00:00,2023-03-07 21:33:10+00:00,10.0,1,1868,0,1,ICM,3.0,1.0,2023-03-07 21:32:09+00:00,2190.0,2149.0,2023-03-07 21:33:10+00:00,-51.0,-61.0,1,2024-05-15 21:33:00,True,2240.0,2199.0,41.0,perfect
80814,2023-03-07,785,700.0,O,Gvc,V,2023-03-07 22:33:00+00:00,2023-03-07 22:33:05+00:00,5.0,1,1872,0,0,DDZ,6.0,1.0,2023-03-07 22:32:09+00:00,2190.0,2229.0,2023-03-07 22:33:05+00:00,-51.0,-56.0,1,2024-05-15 22:33:00,True,2245.0,2284.0,-39.0,perfect
80840,2023-03-07,786,700.0,E,Gn,V,2023-03-07 22:48:00+00:00,2023-03-07 22:48:29+00:00,29.0,1,769,0,1,ICM,3.0,1.0,2023-03-07 22:47:04+00:00,5760.0,5756.0,2023-03-07 22:48:29+00:00,-56.0,-85.0,1,2024-05-15 22:48:00,True,5791.0,5787.0,4.0,perfect
80854,2023-03-07,789,700.0,O,Gvc,V,2023-03-07 23:33:00+00:00,2023-03-07 23:32:56+00:00,-4.0,1,1876,0,0,DDZ,4.0,0.0,2023-03-07 23:32:09+00:00,2190.0,2214.0,2023-03-07 23:32:56+00:00,-51.0,-47.0,1,2024-05-15 23:33:00,True,2254.0,2278.0,-24.0,perfect
81072,2023-03-07,828,800.0,E,Mt,V,2023-03-07 08:01:00+00:00,2023-03-07 08:01:06+00:00,6.0,1,2915,0,0,VIRM,4.0,0.0,2023-03-07 08:00:07+00:00,1860.0,1868.0,2023-03-07 08:01:06+00:00,-53.0,-59.0,1,2024-05-15 08:01:00,False,1914.0,1922.0,-8.0,perfect
81132,2023-03-07,830,800.0,E,Mt,V,2023-03-07 08:31:00+00:00,2023-03-07 08:31:02+00:00,2.0,1,2917,0,0,VIRM,6.0,0.0,2023-03-07 08:30:08+00:00,1860.0,1881.0,2023-03-07 08:31:02+00:00,-52.0,-54.0,1,2024-05-15 08:31:00,False,1918.0,1939.0,-21.0,perfect
81186,2023-03-07,832,800.0,E,Mt,V,2023-03-07 09:01:00+00:00,2023-03-07 09:01:04+00:00,4.0,1,2919,0,0,VIRM,4.0,0.0,2023-03-07 09:00:06+00:00,1860.0,1873.0,2023-03-07 09:01:04+00:00,-54.0,-58.0,1,2024-05-15 09:01:00,True,1916.0,1929.0,-13.0,perfect
81234,2023-03-07,834,800.0,E,Mt,V,2023-03-07 09:31:00+00:00,2023-03-07 09:31:06+00:00,6.0,1,2921,0,0,VIRM,6.0,0.0,2023-03-07 09:30:09+00:00,1860.0,1707.0,2023-03-07 09:31:06+00:00,-51.0,-57.0,1,2024-05-15 09:31:00,True,1914.0,1761.0,153.0,too late
81282,2023-03-07,836,800.0,E,Mt,V,2023-03-07 10:01:00+00:00,2023-03-07 10:01:11+00:00,11.0,1,823,0,0,VIRM,4.0,0.0,2023-03-07 10:00:07+00:00,1860.0,1847.0,2023-03-07 10:01:11+00:00,-53.0,-64.0,1,2024-05-15 10:01:00,True,1909.0,1896.0,13.0,perfect
81306,2023-03-07,837,800.0,O,Amr,V,2023-03-07 09:57:00+00:00,2023-03-07 09:57:20+00:00,20.0,1,822,0,1,VIRM,4.0,1.0,2023-03-07 09:56:07+00:00,1440.0,1404.0,2023-03-07 09:57:20+00:00,-53.0,-73.0,1,2024-05-15 09:57:00,True,1480.0,1444.0,36.0,perfect
81330,2023-03-07,838,800.0,E,Mt,V,2023-03-07 10:31:00+00:00,2023-03-07 10:31:03+00:00,3.0,1,825,0,0,VIRM,6.0,1.0,2023-03-07 10:30:09+00:00,1860.0,1830.0,2023-03-07 10:31:03+00:00,-51.0,-54.0,1,2024-05-15 10:31:00,True,1917.0,1887.0,30.0,perfect
81378,2023-03-07,840,800.0,E,Mt,V,2023-03-07 11:01:00+00:00,2023-03-07 11:01:05+00:00,5.0,1,827,0,0,VIRM,6.0,0.0,2023-03-07 11:00:07+00:00,1860.0,1858.0,2023-03-07 11:01:05+00:00,-53.0,-58.0,1,2024-05-15 11:01:00,True,1915.0,1913.0,2.0,perfect
81402,2023-03-07,841,800.0,O,Amr,V,2023-03-07 10:57:00+00:00,2023-03-07 10:56:46+00:00,-14.0,1,826,0,1,VIRM,4.0,1.0,2023-03-07 10:56:09+00:00,1440.0,1265.0,2023-03-07 10:56:46+00:00,-51.0,-37.0,1,2024-05-15 10:57:00,True,1514.0,1339.0,175.0,too late
81450,2023-03-07,843,800.0,O,Amr,V,2023-03-07 11:27:00+00:00,2023-03-07 11:27:14+00:00,14.0,1,828,0,0,VIRM,4.0,1.0,2023-03-07 11:26:09+00:00,1440.0,1428.0,2023-03-07 11:27:14+00:00,-51.0,-65.0,1,2024-05-15 11:27:00,True,1486.0,1474.0,12.0,perfect
81474,2023-03-07,844,800.0,E,Mt,V,2023-03-07 12:01:00+00:00,2023-03-07 12:01:15+00:00,15.0,1,831,0,0,VIRM,6.0,0.0,2023-03-07 12:00:06+00:00,1860.0,1714.0,2023-03-07 12:01:15+00:00,-54.0,-69.0,1,2024-05-15 12:01:00,True,1905.0,1759.0,146.0,too late
81498,2023-03-07,845,800.0,O,Amr,V,2023-03-07 11:57:00+00:00,2023-03-07 11:57:12+00:00,12.0,1,830,0,0,VIRM,6.0,1.0,2023-03-07 11:56:14+00:00,1440.0,1382.0,2023-03-07 11:57:12+00:00,-46.0,-58.0,1,2024-05-15 11:57:00,True,1488.0,1430.0,58.0,perfect
81522,2023-03-07,846,800.0,E,Mt,V,2023-03-07 12:31:00+00:00,2023-03-07 12:31:10+00:00,10.0,1,833,0,0,VIRM,6.0,1.0,2023-03-07 12:30:08+00:00,1860.0,1762.0,2023-03-07 12:31:10+00:00,-52.0,-62.0,1,2024-05-15 12:31:00,True,1910.0,1812.0,98.0,too late
81570,2023-03-07,848,800.0,E,Mt,V,2023-03-07 13:01:00+00:00,2023-03-07 13:01:22+00:00,22.0,1,835,0,0,VIRM,4.0,0.0,2023-03-07 13:00:07+00:00,1860.0,1863.0,2023-03-07 13:01:22+00:00,-53.0,-75.0,1,2024-05-15 13:01:00,True,1898.0,1901.0,-3.0,perfect
81594,2023-03-07,849,800.0,O,Amr,V,2023-03-07 12:57:00+00:00,2023-03-07 12:57:08+00:00,8.0,1,834,1,0,VIRM,10.0,1.0,2023-03-07 12:56:09+00:00,1440.0,1486.0,2023-03-07 12:57:08+00:00,-51.0,-59.0,1,2024-05-15 12:57:00,True,1492.0,1538.0,-46.0,perfect
81618,2023-03-07,850,800.0,E,Mt,V,2023-03-07 13:31:00+00:00,2023-03-07 13:30:44+00:00,-16.0,1,837,0,0,VIRM,4.0,1.0,2023-03-07 13:30:09+00:00,1860.0,1873.0,2023-03-07 13:30:44+00:00,-51.0,-35.0,1,2024-05-15 13:31:00,True,1936.0,1949.0,-13.0,perfect
81666,2023-03-07,852,800.0,E,Mt,V,2023-03-07 14:01:00+00:00,2023-03-07 14:01:09+00:00,9.0,1,839,0,0,VIRM,4.0,1.0,2023-03-07 14:00:07+00:00,1860.0,1876.0,2023-03-07 14:01:09+00:00,-53.0,-62.0,1,2024-05-15 14:01:00,True,1911.0,1927.0,-16.0,perfect
81720,2023-03-07,854,800.0,E,Mt,V,2023-03-07 14:31:00+00:00,2023-03-07 14:31:15+00:00,15.0,1,841,1,0,VIRM,10.0,1.0,2023-03-07 14:30:09+00:00,1860.0,1901.0,2023-03-07 14:31:15+00:00,-51.0,-66.0,1,2024-05-15 14:31:00,True,1905.0,1946.0,-41.0,perfect
81750,2023-03-07,855,800.0,O,Amr,V,2023-03-07 14:27:00+00:00,2023-03-07 14:27:11+00:00,11.0,1,840,0,0,VIRM,6.0,1.0,2023-03-07 14:26:09+00:00,1440.0,1422.0,2023-03-07 14:27:11+00:00,-51.0,-62.0,1,2024-05-15 14:27:00,True,1489.0,1471.0,18.0,perfect
81810,2023-03-07,857,800.0,O,Amr,V,2023-03-07 14:57:00+00:00,2023-03-07 14:57:11+00:00,11.0,1,842,0,0,VIRM,8.0,1.0,2023-03-07 14:56:49+00:00,1440.0,1422.0,2023-03-07 14:57:11+00:00,-11.0,-22.0,1,2024-05-15 14:57:00,True,1489.0,1471.0,18.0,perfect
81834,2023-03-07,858,800.0,E,Mt,V,2023-03-07 15:31:00+00:00,2023-03-07 15:31:10+00:00,10.0,1,845,0,0,VIRM,6.0,1.0,2023-03-07 15:30:08+00:00,1860.0,1873.0,2023-03-07 15:31:10+00:00,-52.0,-62.0,1,2024-05-15 15:31:00,True,1910.0,1923.0,-13.0,perfect
81870,2023-03-07,859,800.0,O,Amr,V,2023-03-07 15:27:00+00:00,2023-03-07 15:26:55+00:00,-5.0,1,844,0,0,VIRM,6.0,0.0,2023-03-07 15:26:29+00:00,1440.0,1322.0,2023-03-07 15:26:55+00:00,-31.0,-26.0,1,2024-05-15 15:27:00,True,1505.0,1387.0,118.0,too late
81894,2023-03-07,860,800.0,E,Mt,V,2023-03-07 16:01:00+00:00,2023-03-07 16:01:12+00:00,12.0,1,847,0,0,VIRM,4.0,1.0,2023-03-07 16:00:08+00:00,1860.0,1875.0,2023-03-07 16:01:12+00:00,-52.0,-64.0,1,2024-05-15 16:01:00,False,1908.0,1923.0,-15.0,perfect
81918,2023-03-07,861,800.0,O,Amr,V,2023-03-07 15:57:00+00:00,2023-03-07 15:57:05+00:00,5.0,1,846,0,0,VIRM,6.0,1.0,2023-03-07 15:56:09+00:00,1440.0,1447.0,2023-03-07 15:57:05+00:00,-51.0,-56.0,1,2024-05-15 15:57:00,True,1495.0,1502.0,-7.0,perfect
81966,2023-03-07,863,800.0,O,Amr,V,2023-03-07 16:27:00+00:00,2023-03-07 16:26:57+00:00,-3.0,1,848,1,0,VIRM,8.0,1.0,2023-03-07 16:26:09+00:00,1440.0,1469.0,2023-03-07 16:26:57+00:00,-51.0,-48.0,1,2024-05-15 16:27:00,False,1503.0,1532.0,-29.0,perfect
81990,2023-03-07,864,800.0,E,Mt,V,2023-03-07 17:01:00+00:00,2023-03-07 17:01:09+00:00,9.0,1,851,0,0,VIRM,4.0,0.0,2023-03-07 17:00:08+00:00,1860.0,1701.0,2023-03-07 17:01:09+00:00,-52.0,-61.0,1,2024-05-15 17:01:00,False,1911.0,1752.0,159.0,too late
82014,2023-03-07,865,800.0,O,Amr,V,2023-03-07 16:57:00+00:00,2023-03-07 16:56:54+00:00,-6.0,1,850,1,0,VIRM,8.0,1.0,2023-03-07 16:56:09+00:00,1440.0,1412.0,2023-03-07 16:56:54+00:00,-51.0,-45.0,1,2024-05-15 16:57:00,False,1506.0,1478.0,28.0,perfect
82038,2023-03-07,867,800.0,O,Amr,V,2023-03-07 17:27:00+00:00,2023-03-07 17:27:50+00:00,50.0,1,852,1,0,VIRM,8.0,1.0,2023-03-07 17:26:09+00:00,1440.0,1480.0,2023-03-07 17:27:50+00:00,-51.0,-101.0,1,2024-05-15 17:27:00,False,1450.0,1490.0,-40.0,perfect
82086,2023-03-07,871,800.0,O,Amr,V,2023-03-07 18:27:00+00:00,2023-03-07 18:27:02+00:00,2.0,1,854,0,1,VIRM,6.0,1.0,2023-03-07 18:26:09+00:00,3240.0,3092.0,2023-03-07 18:27:02+00:00,-51.0,-53.0,1,2024-05-15 18:27:00,False,3298.0,3150.0,148.0,too late
82394,2023-03-07,1417,1400.0,O,Ut,V,2023-03-07 04:16:00+00:00,2023-03-07 04:16:04+00:00,4.0,1,1410,0,0,VIRM,6.0,0.0,2023-03-07 04:15:03+00:00,1680.0,1934.0,2023-03-07 04:16:04+00:00,-57.0,-61.0,1,2024-05-15 04:16:00,True,1736.0,1990.0,-254.0,too early
82426,2023-03-07,1518,1500.0,E,Amf,V,2023-03-07 06:56:00+00:00,2023-03-07 06:56:36+00:00,36.0,1,1517,0,0,ICM,7.0,0.0,2023-03-07 06:55:25+00:00,1320.0,1329.0,2023-03-07 06:56:36+00:00,-35.0,-71.0,1,2024-05-15 06:56:00,False,1344.0,1353.0,-9.0,perfect
82454,2023-03-07,1523,1500.0,O,Asd,V,2023-03-07 07:30:00+00:00,2023-03-07 07:35:55+00:00,355.0,1,2616,1,0,ICM,7.0,0.0,2023-03-07 07:29:10+00:00,480.0,813.0,2023-03-07 07:35:55+00:00,-50.0,-405.0,1,2024-05-15 07:30:00,False,185.0,518.0,-333.0,too early
82462,2023-03-07,1524,1500.0,E,Dv,V,2023-03-07 07:48:00+00:00,2023-03-07 07:48:01+00:00,1.0,1,1519,0,0,ICM,6.0,1.0,2023-03-07 07:47:11+00:00,360.0,327.0,2023-03-07 07:48:01+00:00,-49.0,-50.0,1,2024-05-15 07:48:00,False,419.0,386.0,33.0,perfect
82470,2023-03-07,1525,1500.0,O,Asd,V,2023-03-07 08:00:00+00:00,2023-03-07 07:59:55+00:00,-5.0,1,2618,0,0,ICM,7.0,0.0,2023-03-07 07:59:10+00:00,420.0,432.0,2023-03-07 07:59:55+00:00,-50.0,-45.0,1,2024-05-15 08:00:00,False,485.0,497.0,-12.0,perfect
82486,2023-03-07,1527,1500.0,O,Asd,V,2023-03-07 08:30:00+00:00,2023-03-07 08:30:44+00:00,44.0,1,2620,0,0,ICM,7.0,1.0,2023-03-07 08:29:28+00:00,480.0,510.0,2023-03-07 08:30:44+00:00,-32.0,-76.0,1,2024-05-15 08:30:00,False,496.0,526.0,-30.0,perfect
82499,2023-03-07,1529,1500.0,O,Asd,V,2023-03-07 09:00:00+00:00,2023-03-07 08:59:58+00:00,-2.0,1,2622,0,0,ICM,7.0,1.0,2023-03-07 08:59:02+00:00,480.0,432.0,2023-03-07 08:59:58+00:00,-58.0,-56.0,1,2024-05-15 09:00:00,True,542.0,494.0,48.0,perfect
82515,2023-03-07,1531,1500.0,O,Asd,V,2023-03-07 09:30:00+00:00,2023-03-07 09:29:58+00:00,-2.0,1,2624,0,0,ICM,6.0,1.0,2023-03-07 09:29:10+00:00,480.0,319.0,2023-03-07 09:29:58+00:00,-50.0,-48.0,1,2024-05-15 09:30:00,True,542.0,381.0,161.0,too late
82520,2023-03-07,1533,1500.0,O,Asd,V,2023-03-07 10:00:00+00:00,2023-03-07 10:03:36+00:00,216.0,1,2626,0,0,ICM,4.0,1.0,2023-03-07 09:59:27+00:00,480.0,617.0,2023-03-07 10:03:36+00:00,-33.0,-249.0,1,2024-05-15 10:00:00,True,324.0,461.0,-137.0,too early
82528,2023-03-07,1534,1500.0,E,Amf,V,2023-03-07 10:56:00+00:00,2023-03-07 10:56:12+00:00,12.0,1,1531,0,1,ICM,3.0,1.0,2023-03-07 10:55:26+00:00,3120.0,3106.0,2023-03-07 10:56:12+00:00,-34.0,-46.0,1,2024-05-15 10:56:00,True,3168.0,3154.0,14.0,perfect
82532,2023-03-07,1535,1500.0,O,Asd,V,2023-03-07 10:30:00+00:00,2023-03-07 10:30:11+00:00,11.0,1,2628,0,0,ICM,3.0,1.0,2023-03-07 10:24:44+00:00,480.0,512.0,2023-03-07 10:30:11+00:00,-316.0,-327.0,1,2024-05-15 10:30:00,True,529.0,561.0,-32.0,perfect
82544,2023-03-07,1538,1500.0,E,Amf,V,2023-03-07 11:56:00+00:00,2023-03-07 11:56:09+00:00,9.0,1,1535,0,0,ICM,3.0,1.0,2023-03-07 11:55:25+00:00,3120.0,3139.0,2023-03-07 11:56:09+00:00,-35.0,-44.0,1,2024-05-15 11:56:00,True,3171.0,3190.0,-19.0,perfect
82548,2023-03-07,1539,1500.0,O,Asd,V,2023-03-07 11:30:00+00:00,2023-03-07 11:30:07+00:00,7.0,1,2632,0,0,ICM,7.0,0.0,2023-03-07 11:29:09+00:00,480.0,454.0,2023-03-07 11:30:07+00:00,-51.0,-58.0,1,2024-05-15 11:30:00,True,533.0,507.0,26.0,perfect
82553,2023-03-07,1541,1500.0,O,Asd,V,2023-03-07 12:00:00+00:00,2023-03-07 12:01:02+00:00,62.0,1,2634,0,0,ICM,4.0,1.0,2023-03-07 11:59:04+00:00,480.0,576.0,2023-03-07 12:01:02+00:00,-56.0,-118.0,1,2024-05-15 12:00:00,True,478.0,574.0,-96.0,too early
82565,2023-03-07,1543,1500.0,O,Asd,V,2023-03-07 12:30:00+00:00,2023-03-07 12:30:01+00:00,1.0,1,2636,0,0,ICM,6.0,1.0,2023-03-07 12:29:10+00:00,480.0,502.0,2023-03-07 12:30:01+00:00,-50.0,-51.0,1,2024-05-15 12:30:00,True,539.0,561.0,-22.0,perfect
82577,2023-03-07,1546,1500.0,E,Amf,V,2023-03-07 13:56:00+00:00,2023-03-07 13:55:58+00:00,-2.0,1,1543,0,0,ICM,6.0,1.0,2023-03-07 13:55:26+00:00,3120.0,3148.0,2023-03-07 13:55:58+00:00,-34.0,-32.0,1,2024-05-15 13:56:00,True,3182.0,3210.0,-28.0,perfect
82585,2023-03-07,1549,1500.0,O,Asd,V,2023-03-07 14:00:00+00:00,2023-03-07 13:59:48+00:00,-12.0,1,2642,0,0,ICM,3.0,1.0,2023-03-07 13:59:04+00:00,480.0,479.0,2023-03-07 13:59:48+00:00,-56.0,-44.0,1,2024-05-15 14:00:00,True,552.0,551.0,1.0,perfect
82593,2023-03-07,1550,1500.0,E,Amf,V,2023-03-07 14:56:00+00:00,2023-03-07 14:56:16+00:00,16.0,1,1547,1,0,ICM,6.0,1.0,2023-03-07 14:55:26+00:00,3120.0,2973.0,2023-03-07 14:56:16+00:00,-34.0,-50.0,1,2024-05-15 14:56:00,True,3164.0,3017.0,147.0,too late
82597,2023-03-07,1551,1500.0,O,Asd,V,2023-03-07 14:30:00+00:00,2023-03-07 14:30:10+00:00,10.0,1,2644,0,0,ICM,3.0,0.0,2023-03-07 14:29:03+00:00,480.0,464.0,2023-03-07 14:30:10+00:00,-57.0,-67.0,1,2024-05-15 14:30:00,True,530.0,514.0,16.0,perfect
